bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,price
2.0,1.0,850,6174,1.0,4,308500.0
3.0,2.5,1770,2875,2.0,3,439950.0
2.0,1.0,1210,9400,1.0,2,235000.0
3.0,1.0,1160,9180,1.0,3,315000.0
3.0,2.25,1970,35100,2.0,4,437500.0
3.0,2.5,1930,10460,2.0,3,407500.0
3.0,2.5,1270,1180,3.0,3,445700.0
4.0,2.5,3310,42998,2.0,3,838000.0
4.0,2.75,2710,37277,2.0,3,630000.0
3.0,1.75,2910,35200,1.5,3,550000.0
3.0,2.0,2710,4500,1.5,4,805000.0
3.0,1.75,1800,23103,1.0,3,284000.0
5.0,2.5,2210,9655,1.0,3,470000.0
4.0,1.5,1920,10000,1.0,4,430000.0
4.0,1.75,2190,125452,1.0,3,491500.0
5.0,3.25,3660,11995,2.0,3,785000.0
3.0,3.25,1320,1327,2.0,3,385000.0
2.0,2.5,1630,1368,2.0,3,295000.0
4.0,2.5,3310,6500,2.0,3,555000.0
3.0,2.5,2680,5539,2.0,3,459990.0
4.0,3.25,2730,54014,1.0,3,625000.0
3.0,2.5,2540,5050,2.0,3,300000.0
4.0,2.75,2920,6605,2.0,3,625000.0
2.0,1.0,900,5000,1.0,3,553000.0
3.0,2.5,1650,14054,1.0,4,379880.0
3.0,1.0,1010,9945,1.0,4,310000.0
2.0,2.5,2680,7392,1.0,3,775000.0
3.0,2.5,2200,7350,1.0,5,365000.0
4.0,2.5,2530,9933,2.0,3,331950.0
3.0,2.5,2850,7130,2.0,3,783500.0
4.0,2.0,2280,6010,1.0,3,628000.0
3.0,2.5,1900,8744,2.0,3,560000.0
3.0,1.0,1330,77972,1.0,3,900000.0
2.0,3.0,1270,1175,2.0,3,531000.0
4.0,3.0,2170,4000,2.0,4,831000.0
4.0,2.5,2730,10281,2.0,3,780000.0
4.0,2.5,2120,10202,1.0,4,755000.0
3.0,2.5,2490,4343,2.0,3,705380.0
4.0,2.25,1990,7712,1.0,3,627000.0
4.0,3.0,3690,9892,2.0,3,865000.0
2.0,1.0,2540,7000,1.0,5,580000.0
3.0,2.25,1800,36704,1.0,4,410000.0
4.0,3.0,2340,7048,1.0,4,485000.0
2.0,1.75,2110,9519,1.0,2,400000.0
2.0,1.0,1140,5400,1.0,5,549000.0
3.0,1.75,1480,2185,2.5,3,620000.0
2.0,3.0,1410,1240,2.0,3,405000.0
2.0,1.0,1200,8063,1.0,4,232000.0
5.0,2.5,3180,13806,2.0,4,800866.0
3.0,1.5,2160,9000,1.0,4,650000.0
6.0,1.75,2920,5000,2.5,4,823000.0
3.0,2.0,2350,5700,1.5,4,770000.0
3.0,1.75,1560,5520,1.0,4,524000.0
5.0,2.75,2740,8426,1.0,4,541125.0
3.0,2.5,1680,2000,3.0,3,670000.0
5.0,2.5,3090,12750,1.0,3,384900.0
3.0,2.25,1410,1332,3.0,3,406100.0
5.0,3.5,4010,8510,2.0,5,1395000.0
4.0,2.5,3180,21904,2.0,3,736500.0
3.0,2.25,2010,6000,1.0,3,570000.0
3.0,1.75,1330,7500,1.0,3,787000.0
4.0,2.5,2370,6500,2.0,3,328000.0
5.0,2.0,1840,9240,1.0,4,435000.0
4.0,2.5,2910,6479,2.0,3,499000.0
4.0,1.0,2070,7519,1.0,3,501000.0
4.0,2.5,4340,141570,2.5,3,1090000.0
2.0,1.0,840,5510,1.0,3,400000.0
4.0,1.5,1240,9600,1.0,3,220000.0
4.0,1.0,1390,4240,1.0,3,657100.0
4.0,2.75,2310,5000,2.0,3,309950.0
3.0,2.0,1050,10072,1.0,3,300000.0
5.0,1.75,2550,71874,1.0,5,525888.0
4.0,1.75,2010,3600,1.5,3,740000.0
5.0,1.0,1120,9022,1.5,4,340000.0
3.0,2.5,2230,4000,2.0,3,398750.0
2.0,1.0,810,7158,1.0,5,206000.0
5.0,2.75,3190,16920,1.0,3,1030000.0
3.0,1.75,1670,39639,1.0,4,600000.0
4.0,1.75,1970,9389,1.0,5,379950.0
3.0,1.0,1450,6000,1.0,4,287000.0
7.0,8.0,13540,307752,3.0,3,2280000.0
3.0,2.5,1880,7838,2.0,3,309950.0
3.0,1.75,1880,6360,1.0,4,600000.0
3.0,2.0,1410,6030,1.5,4,418000.0
4.0,2.0,1480,3844,1.5,5,449250.0
2.0,1.0,1140,5250,1.5,4,329950.0
3.0,1.75,1920,9306,1.0,3,245000.0
4.0,2.5,2910,6338,2.0,3,549000.0
3.0,2.5,3240,7857,2.0,3,800000.0
3.0,2.0,1550,15040,1.0,4,249950.0
5.0,2.0,2050,10200,1.0,3,210000.0
2.0,2.5,2220,4000,2.0,3,1425000.0
2.0,1.0,1770,8640,1.5,3,585000.0
4.0,1.75,2300,11700,1.0,4,615000.0
3.0,2.0,1800,5000,1.0,4,618500.0
4.0,1.75,2010,9211,1.0,3,487585.0
3.0,2.5,1790,2700,2.0,3,509900.0
4.0,2.5,2440,6651,2.0,3,631625.0
3.0,2.5,1940,3211,2.0,3,555000.0
2.0,1.5,1160,1438,2.0,3,340000.0
4.0,2.5,3400,9692,2.0,3,830000.0
4.0,4.25,4420,5750,2.0,3,890000.0
3.0,3.0,1571,2017,3.0,3,366750.0
3.0,2.25,1620,998,2.5,3,415000.0
3.0,2.5,1408,989,3.0,3,416286.0
3.0,2.5,3040,4535,2.0,3,478000.0
5.0,3.5,4490,6000,2.0,3,890000.0
2.0,2.5,1590,1426,2.0,3,419190.0
4.0,2.5,2450,4247,2.0,3,712198.0
4.0,2.0,1440,7680,1.0,3,397000.0
2.0,2.0,1100,3000,1.5,3,450000.0
3.0,1.0,1350,7740,1.0,4,353000.0
4.0,2.5,2150,37981,2.0,3,609000.0
3.0,1.75,1490,8366,1.0,4,234000.0
3.0,2.0,2000,7000,2.0,3,561000.0
2.0,1.0,1030,4400,1.0,3,469000.0
2.0,1.0,720,6687,1.0,3,329350.0
5.0,2.0,2020,5000,1.5,4,488000.0
3.0,1.75,1580,8151,1.0,4,279900.0
4.0,2.5,2110,13850,2.0,3,606000.0
4.0,2.0,1300,7054,1.0,3,312000.0
3.0,1.5,1630,7475,1.0,3,650000.0
4.0,2.75,3370,8103,1.0,3,1135000.0
4.0,2.5,1890,6156,1.0,3,325000.0
4.0,2.0,1520,7983,1.0,5,425000.0
2.0,1.0,900,5160,1.0,3,219000.0
3.0,1.0,1050,6874,1.0,3,250000.0
3.0,1.75,1260,6500,1.0,4,390000.0
6.0,3.0,3470,117612,1.5,3,475000.0
4.0,2.5,2290,12047,2.0,4,736000.0
4.0,2.25,2810,23400,1.0,3,407000.0
3.0,2.5,1650,13816,2.0,3,272000.0
3.0,2.25,1640,14374,1.0,4,362000.0
3.0,2.5,1850,10109,2.0,3,535000.0
4.0,2.5,2000,5390,2.0,3,284000.0
3.0,1.5,1410,9647,1.0,3,367500.0
4.0,1.75,1500,11600,1.0,4,379900.0
3.0,2.5,2460,54885,2.0,4,520000.0
3.0,1.0,1010,7034,1.0,3,175000.0
2.0,2.25,1230,929,2.0,3,460000.0
4.0,2.5,2331,3826,2.0,3,345000.0
5.0,2.5,2240,7770,1.0,3,455000.0
4.0,3.0,2450,10117,1.0,5,610000.0
4.0,3.0,3100,15480,2.0,3,563000.0
4.0,2.0,2060,5000,1.0,3,612500.0
3.0,1.75,1850,7684,1.0,3,218000.0
4.0,1.75,1840,10720,1.0,3,404000.0
4.0,2.0,3740,32417,2.0,3,860000.0
3.0,1.5,1420,8580,1.0,3,136500.0
3.0,1.0,1510,6083,1.0,4,313950.0
3.0,1.75,2130,6500,1.0,3,575000.0
4.0,2.25,3490,6906,2.0,4,1225000.0
3.0,1.75,1630,11800,1.0,4,280000.0
3.0,2.5,1790,7167,2.0,3,515000.0
4.0,2.5,2000,5684,2.0,3,513000.0
4.0,2.25,2260,29930,2.0,4,599000.0
4.0,2.5,3030,7864,2.0,3,685000.0
3.0,1.5,1310,8160,1.0,3,365000.0
4.0,2.5,3880,14550,2.0,3,762300.0
4.0,3.25,3760,10920,1.5,5,1580000.0
5.0,2.25,3040,8111,2.0,3,562000.0
5.0,2.5,2910,9636,1.0,4,530000.0
3.0,2.5,2970,11985,1.0,3,525000.0
2.0,1.75,1660,6000,1.0,3,484000.0
4.0,2.5,3200,12369,2.0,3,725126.0
4.0,2.0,2680,18768,1.0,5,360000.0
3.0,1.0,1230,9568,1.0,5,387000.0
4.0,2.5,2740,45732,2.0,3,483500.0
4.0,3.5,3380,8330,2.0,3,655500.0
3.0,1.0,1110,6250,1.0,3,345000.0
5.0,2.75,1800,3780,1.5,3,533000.0
3.0,1.75,1900,5520,1.0,3,385000.0
2.0,1.0,930,36478,1.0,3,675000.0
3.0,1.75,1690,7735,1.0,4,197000.0
3.0,2.0,1420,4080,1.5,3,485000.0
5.0,4.0,4510,15175,2.0,3,1870000.0
3.0,2.25,1980,8000,1.0,4,295000.0
2.0,1.75,1170,2400,1.0,4,499000.0
3.0,2.5,2200,1970,2.0,3,1050000.0
3.0,1.5,800,8850,1.0,4,191000.0
3.0,2.5,1480,1171,3.0,3,500000.0
5.0,3.75,2890,5000,1.0,3,390000.0
3.0,2.5,2690,4047,3.0,3,979000.0
4.0,3.25,3569,8327,2.0,3,580000.0
3.0,2.0,1270,1320,3.0,3,369950.0
5.0,5.0,4490,10279,2.0,3,1800000.0
4.0,2.5,3040,6425,2.0,3,776000.0
3.0,2.25,1170,1249,3.0,3,519950.0
5.0,2.25,2060,8632,1.0,3,255000.0
3.0,1.0,990,6000,1.0,3,495000.0
4.0,2.5,2430,5203,2.0,3,510000.0
4.0,4.0,4460,103382,2.0,3,1150000.0
3.0,1.75,1250,10122,1.0,3,253000.0
3.0,2.75,1540,6760,1.0,5,503000.0
3.0,2.5,1600,7000,2.0,4,275000.0
3.0,1.0,1110,8423,1.0,3,249000.0
3.0,1.75,1840,10723,1.0,4,310000.0
3.0,2.75,2520,5401,1.0,4,750000.0
3.0,2.5,2680,327135,2.0,3,630000.0
9.0,4.5,3830,6988,2.5,3,599999.0
4.0,2.75,2410,9549,1.0,4,758000.0
4.0,1.75,1720,10018,1.0,5,248500.0
3.0,1.75,2070,37904,1.0,4,310000.0
3.0,2.0,1760,9055,2.0,4,460000.0
3.0,1.75,1680,10500,1.0,4,675000.0
2.0,2.0,1550,2400,1.5,4,526000.0
3.0,3.0,4120,60392,2.0,3,560000.0
4.0,3.0,1830,9548,2.0,3,415000.0
3.0,1.0,1400,7410,1.0,3,246000.0
3.0,1.75,1870,12381,1.0,4,314500.0
7.0,4.5,6210,8856,2.5,5,3200000.0
2.0,1.5,1040,3500,1.5,4,420000.0
3.0,1.75,2720,149410,1.5,3,535000.0
3.0,1.0,1010,9360,1.0,3,350000.0
3.0,1.75,1580,9147,1.0,4,515000.0
4.0,2.75,2600,6050,2.0,5,749950.0
3.0,2.5,1920,9180,2.0,3,230000.0
3.0,2.0,2350,5080,1.5,3,568000.0
1.0,1.0,1100,4373,1.0,2,250000.0
4.0,2.0,2510,13695,1.0,4,581000.0
3.0,2.5,3240,108366,2.0,4,651000.0
3.0,2.5,2460,108900,1.0,4,600000.0
2.0,1.0,1010,3885,1.5,4,500000.0
2.0,1.0,820,2723,1.0,3,475000.0
5.0,2.5,2420,8560,1.0,3,352000.0
3.0,2.25,1770,8165,2.0,3,420000.0
2.0,2.0,1350,3900,1.0,3,428000.0
3.0,1.75,1960,4788,1.0,4,599000.0
4.0,2.5,3305,16164,1.5,5,492000.0
2.0,2.25,2550,5663,1.0,3,630000.0
5.0,3.75,4130,226076,2.0,3,900000.0
4.0,1.5,2310,13300,1.0,3,1110000.0
4.0,2.0,1650,5000,1.0,3,575000.0
4.0,2.5,2650,4316,1.5,3,705000.0
4.0,2.25,1890,5940,1.0,3,940000.0
3.0,1.75,2190,8000,1.0,4,313000.0
3.0,2.5,2030,6500,2.0,3,618080.0
3.0,3.0,2270,5175,2.0,3,640000.0
3.0,2.0,1610,4160,1.0,4,485000.0
2.0,1.0,760,3001,1.0,3,300000.0
2.0,1.0,1640,17335,1.0,3,379500.0
3.0,2.25,1630,12295,2.0,4,339950.0
6.0,2.5,3560,6480,2.5,4,1500000.0
3.0,3.0,2960,5500,2.0,3,1340000.0
3.0,2.5,1940,37565,1.0,4,500000.0
3.0,2.0,1410,7566,1.0,3,239900.0
3.0,1.0,1040,16986,1.0,4,314950.0
2.0,1.0,820,6400,1.0,4,361280.0
2.0,1.0,910,22000,1.0,3,100000.0
7.0,5.75,3700,7647,2.0,3,540000.0
4.0,2.5,2180,11200,1.0,4,480500.0
3.0,2.5,1600,4271,2.0,3,280000.0
3.0,1.75,1500,6180,1.0,4,440000.0
3.0,1.0,1340,4284,1.0,3,530000.0
3.0,2.0,1860,13374,1.0,3,560000.0
3.0,2.0,2540,7200,1.5,4,775000.0
2.0,1.0,1040,13100,1.0,5,160000.0
3.0,1.5,1380,11130,1.0,3,209950.0
3.0,1.75,1640,10762,1.0,3,226500.0
5.0,1.75,3000,6000,1.0,5,380000.0
4.0,2.75,2140,13000,1.0,3,409500.0
3.0,2.0,1760,6428,1.0,4,690000.0
3.0,2.25,1660,8307,1.0,4,405000.0
3.0,2.5,1830,13042,2.0,3,375000.0
4.0,2.0,2210,8556,1.0,4,794154.0
4.0,1.0,1490,6600,1.0,3,185000.0
3.0,1.5,1260,1270,2.0,3,245000.0
5.0,4.5,4270,8076,2.0,3,1532500.0
4.0,3.5,3900,8391,2.0,3,1040000.0
2.0,2.5,1150,1027,3.0,3,425000.0
4.0,2.75,2656,21195,2.0,3,495000.0
5.0,2.75,2410,5003,1.0,3,365000.0
3.0,2.25,1606,1452,3.0,3,417250.0
2.0,1.0,820,681,3.0,3,339950.0
2.0,1.0,1540,6872,1.0,4,615000.0
3.0,2.75,2090,8354,2.0,3,403000.0
5.0,2.5,3160,11470,1.0,4,980000.0
4.0,1.75,1730,8320,1.0,3,258000.0
3.0,1.0,1670,4080,1.0,3,533000.0
4.0,2.5,2550,4630,2.0,3,537500.0
5.0,3.0,3040,9601,1.0,5,830000.0
3.0,1.0,1250,4620,1.5,4,712000.0
4.0,2.5,2020,6236,2.0,3,262000.0
4.0,2.5,2660,5500,2.0,3,753888.0
2.0,1.5,980,5000,2.0,3,134000.0
3.0,2.5,1960,8000,1.0,4,402000.0
2.0,1.0,720,5040,1.0,3,205000.0
2.0,2.5,1360,1349,2.0,3,553650.0
2.0,2.0,1870,4950,1.0,3,559950.0
4.0,1.5,2130,8800,1.0,3,260000.0
4.0,2.5,1810,6509,2.0,3,270000.0
2.0,1.75,2200,89298,1.0,3,295000.0
3.0,2.5,1690,4500,1.5,4,719000.0
3.0,2.5,1940,8547,1.0,3,266000.0
4.0,2.5,2320,6270,2.0,3,325900.0
4.0,1.75,2060,26036,1.0,4,647500.0
4.0,1.0,3410,5000,2.0,5,1039000.0
4.0,2.25,2250,41688,2.0,3,569000.0
3.0,1.75,1390,7399,1.0,4,246000.0
2.0,1.0,1060,4960,1.0,3,515000.0
3.0,1.0,1490,8995,1.0,4,207000.0
4.0,1.75,2480,9195,1.0,3,780000.0
5.0,2.25,2440,20828,1.5,4,489990.0
3.0,1.5,2240,87625,1.5,2,335000.0
3.0,2.5,1920,7229,2.0,3,295000.0
3.0,1.75,1890,9920,1.0,3,385000.0
4.0,1.75,2250,13515,1.0,4,350000.0
2.0,1.0,1270,3008,1.0,4,235000.0
2.0,1.5,960,1808,2.0,3,358000.0
4.0,2.5,3290,6465,2.0,3,716500.0
4.0,1.75,2000,6120,1.0,3,228000.0
2.0,1.0,1020,8155,1.0,4,405000.0
4.0,1.75,1840,9600,1.0,3,538000.0
3.0,1.75,1980,6760,1.0,4,530000.0
6.0,3.0,3510,5760,2.5,4,1750000.0
2.0,1.75,1230,3600,1.5,5,636000.0
4.0,2.5,2280,65836,2.0,3,535000.0
3.0,1.75,2430,12757,1.0,4,1500000.0
3.0,2.5,2920,3942,3.0,3,868500.0
4.0,2.75,2280,2850,1.5,4,530000.0
3.0,2.0,1510,43560,1.0,3,450000.0
3.0,1.75,950,6000,1.0,3,230000.0
3.0,2.5,1190,3000,2.0,3,229000.0
3.0,1.75,1310,9282,1.0,4,437000.0
5.0,3.25,2800,3200,1.5,5,1307000.0
3.0,2.5,1750,3354,2.0,4,595000.0
3.0,1.75,1320,5750,1.5,5,660000.0
4.0,2.5,2460,7350,2.0,3,347500.0
3.0,2.0,1240,10800,1.0,3,297950.0
3.0,1.5,1260,7964,1.0,4,245000.0
6.0,2.25,2820,15600,1.5,5,543200.0
4.0,3.25,3820,24166,2.0,4,1250000.0
3.0,2.5,1540,1614,3.0,3,413450.0
2.0,2.0,1550,435600,1.5,2,330000.0
3.0,1.75,1460,7700,1.0,3,424500.0
3.0,1.0,1390,16000,1.0,4,230000.0
3.0,3.25,2640,4080,2.0,3,930000.0
3.0,1.75,1590,9620,1.0,3,349000.0
4.0,2.0,1910,6960,1.5,5,835000.0
3.0,2.75,2015,16807,2.0,3,988500.0
3.0,1.75,1410,1197,3.0,3,500000.0
2.0,1.5,1110,957,2.0,3,499000.0
2.0,1.25,860,1277,2.0,3,321950.0
3.0,2.5,2310,4729,2.0,3,494000.0
2.0,1.5,1020,1060,3.0,3,441750.0
2.0,1.0,980,1179,2.0,3,438000.0
4.0,2.25,4230,37769,2.0,3,985000.0
3.0,2.25,1640,11050,1.0,4,352000.0
4.0,3.5,3810,13592,1.0,3,839900.0
4.0,2.75,2790,10819,2.0,3,765000.0
4.0,1.75,1750,5500,1.5,5,460000.0
4.0,1.0,1430,8355,1.5,4,224500.0
3.0,2.5,1850,4597,2.0,3,254000.0
2.0,1.0,960,28717,1.0,4,255000.0
3.0,3.0,2480,45302,1.0,4,610000.0
4.0,3.0,3750,11025,2.0,3,920000.0
4.0,2.5,2600,11951,2.0,3,402500.0
3.0,1.75,1390,8700,1.0,4,280950.0
4.0,2.5,2260,7753,2.0,3,604000.0
4.0,2.25,2470,7447,2.0,3,565000.0
2.0,1.0,810,7980,1.0,1,255000.0
4.0,2.0,1650,6000,1.0,5,445000.0
3.0,2.25,3000,11665,1.5,3,2400000.0
2.0,1.0,720,18000,1.0,3,195000.0
3.0,1.5,1390,48257,1.0,3,275000.0
3.0,2.25,1445,1606,2.0,3,387000.0
2.0,1.0,1840,3300,1.5,4,490000.0
3.0,2.5,2100,5824,2.0,3,505000.0
3.0,1.5,1060,10464,1.0,4,303500.0
3.0,1.5,1500,6337,1.0,5,270000.0
4.0,2.75,1970,7213,1.0,3,323000.0
3.0,3.25,1410,1253,3.0,3,382000.0
4.0,2.75,3720,9450,1.0,5,1370000.0
4.0,2.0,2190,14439,1.0,4,280000.0
3.0,2.0,1920,8075,1.0,4,260000.0
3.0,1.0,1160,8320,1.0,4,201500.0
4.0,4.25,5860,52889,2.0,4,1157200.0
4.0,1.75,2000,4000,1.5,5,536500.0
4.0,3.0,2163,5883,2.0,3,248000.0
5.0,3.0,3480,57499,1.0,4,532000.0
4.0,2.5,2840,6268,2.0,3,580000.0
2.0,1.0,1150,4400,1.0,4,463000.0
4.0,2.75,3100,3773,2.0,3,742500.0
3.0,2.5,1420,14850,1.0,4,260000.0
4.0,2.25,2430,32496,1.0,3,590000.0
4.0,2.25,1930,7452,1.0,3,312000.0
3.0,2.25,1660,10140,1.0,4,566000.0
3.0,2.0,1400,7293,1.0,4,511555.0
4.0,2.5,2660,4000,2.0,3,583000.0
4.0,2.5,2000,13300,1.0,4,290000.0
4.0,2.25,2130,8078,1.0,4,311100.0
3.0,2.25,1352,1694,3.0,3,325000.0
3.0,1.75,1750,11340,1.0,4,491300.0
5.0,1.75,2320,8100,1.0,4,315000.0
2.0,1.0,1420,81892,1.0,3,360000.0
4.0,2.5,1940,3784,2.0,3,330000.0
3.0,2.0,1410,4800,1.0,3,481450.0
3.0,1.0,1360,9948,1.0,3,234950.0
3.0,1.75,1220,7250,1.0,3,251000.0
4.0,2.5,2830,20345,2.0,3,782000.0
4.0,2.75,3780,10308,2.0,3,833000.0
4.0,2.5,2330,14289,2.0,4,542500.0
3.0,2.5,3560,107290,2.0,3,851000.0
4.0,1.5,1470,70800,1.0,3,325000.0
4.0,2.25,3060,48787,2.0,3,415000.0
3.0,1.0,1030,6127,1.0,3,252500.0
4.0,2.5,1930,9653,1.0,4,465000.0
3.0,1.75,1780,120661,1.0,4,336900.0
3.0,2.5,2000,9202,2.0,4,225000.0
3.0,2.0,1690,9583,1.0,4,270000.0
5.0,4.5,5190,23716,2.0,3,1702500.0
3.0,1.75,1300,5413,1.5,3,536000.0
4.0,3.25,2400,29252,2.0,4,585000.0
2.0,2.0,1150,6634,1.0,3,445000.0
4.0,2.25,2310,7490,2.0,3,320000.0
4.0,3.5,2730,3047,2.0,3,769900.0
4.0,2.5,2840,4500,2.0,3,557000.0
2.0,1.5,1020,1525,2.0,3,212000.0
3.0,2.0,1340,1384,3.0,3,376000.0
4.0,3.25,3540,159430,2.0,3,800000.0
5.0,6.5,7270,130017,2.0,3,2238888.0
3.0,2.25,998,904,2.0,3,324000.0
5.0,2.75,3060,7015,1.0,5,549900.0
3.0,2.5,2130,6969,2.0,3,320000.0
4.0,2.0,2520,6000,1.0,3,875000.0
4.0,1.0,1940,9533,1.0,3,265000.0
3.0,2.5,1350,1250,3.0,3,394950.0
4.0,2.5,2160,5298,2.5,4,842500.0
3.0,2.5,1370,1350,2.0,3,368000.0
4.0,4.5,5420,101930,1.0,3,1225000.0
4.0,2.5,2830,5000,2.0,3,885000.0
3.0,2.5,2010,2287,2.0,3,453246.0
4.0,2.75,3300,12090,2.0,3,927000.0
2.0,2.5,1230,1391,2.0,3,490000.0
3.0,1.5,1720,7119,1.5,4,341000.0
1.0,1.0,810,2451,1.0,5,235000.0
3.0,1.75,1560,8078,1.5,4,1200000.0
3.0,2.0,2560,216777,1.0,3,560000.0
4.0,3.25,4700,38412,2.0,3,900000.0
2.0,1.0,1220,2500,1.0,3,255000.0
5.0,2.75,3650,20150,1.0,4,1575000.0
3.0,3.25,2170,12508,1.5,5,876650.0
4.0,2.25,2540,228254,1.0,3,540000.0
2.0,1.0,910,4500,1.5,4,350000.0
4.0,2.5,2980,4930,2.0,3,750000.0
4.0,1.75,2120,4650,1.0,3,582000.0
4.0,3.5,3460,3997,2.0,3,1315000.0
5.0,3.0,2480,10090,1.0,3,372500.0
3.0,2.25,2200,16921,2.0,3,410000.0
4.0,2.0,1730,5500,1.0,5,360000.0
3.0,2.5,2920,34527,1.0,4,1015000.0
3.0,1.0,990,8012,1.0,4,225000.0
4.0,2.5,3040,6887,2.0,3,647000.0
5.0,3.0,4530,258746,1.5,4,950000.0
3.0,1.5,1370,8470,1.0,4,185000.0
3.0,2.5,1940,4927,2.0,3,335000.0
3.0,2.5,1040,2643,2.0,3,210000.0
4.0,2.25,1800,8623,1.0,4,522000.0
3.0,1.75,1720,5000,1.0,3,770000.0
3.0,1.0,980,6380,1.0,3,499950.0
4.0,2.5,3110,6142,2.0,3,751000.0
5.0,3.0,2100,7715,1.0,3,330000.0
3.0,1.5,2020,11358,1.0,4,465000.0
4.0,1.75,2350,11914,1.0,4,850000.0
4.0,2.25,3290,12329,1.5,4,947500.0
5.0,2.25,2180,7813,2.0,3,302000.0
2.0,2.25,1290,1334,3.0,3,500000.0
3.0,1.0,1460,9750,1.0,4,201000.0
2.0,1.0,1290,2828,2.0,3,265000.0
4.0,2.5,2350,3150,1.5,4,870300.0
3.0,1.0,1080,8100,1.0,4,339000.0
4.0,2.5,2670,13463,2.0,4,690000.0
4.0,3.25,3680,5759,2.0,3,788000.0
3.0,1.75,1440,8040,1.0,3,315275.0
4.0,1.75,1940,4800,1.0,5,505000.0
3.0,1.0,1280,9898,1.0,3,368000.0
3.0,2.75,2980,27144,1.5,5,947500.0
3.0,1.0,970,8580,1.0,3,156000.0
4.0,3.0,2110,5000,1.5,4,610000.0
2.0,2.5,1480,1369,3.0,3,420000.0
2.0,1.0,700,10540,1.0,3,192000.0
3.0,2.0,2700,6120,1.0,4,910000.0
4.0,3.25,2330,9687,2.0,3,1300000.0
5.0,1.75,3380,20021,1.0,4,1346400.0
4.0,2.75,2600,2750,1.5,3,840000.0
2.0,1.75,1360,8100,1.0,3,300000.0
4.0,2.5,2780,6369,1.0,3,505000.0
3.0,1.0,1250,53143,1.0,5,110000.0
3.0,2.5,2620,8950,2.0,3,746000.0
3.0,1.5,1350,7620,1.0,5,211000.0
4.0,3.0,2400,3340,1.0,4,675000.0
4.0,2.5,2760,5000,1.5,5,734200.0
4.0,2.25,3070,16028,1.0,3,1225000.0
2.0,1.75,2040,28593,1.5,4,615000.0
4.0,2.0,1770,6000,2.0,5,630000.0
4.0,3.75,3490,9170,2.0,3,1264000.0
2.0,1.5,830,1333,2.0,3,301500.0
2.0,2.5,980,895,2.0,3,369000.0
3.0,2.5,1570,1433,3.0,3,635000.0
4.0,3.25,3270,5187,2.0,3,1033888.0
4.0,2.5,2160,6223,2.0,3,383000.0
4.0,3.75,3280,11000,2.0,3,1050000.0
4.0,2.5,3360,7685,2.0,3,455000.0
5.0,2.75,3150,7119,2.0,3,819900.0
3.0,3.5,1810,1846,2.0,4,625000.0
4.0,2.5,2740,7140,2.0,3,651000.0
5.0,4.75,3830,35000,1.0,3,480000.0
3.0,3.25,3190,5283,2.0,3,757000.0
3.0,2.25,2350,10450,1.0,3,460000.0
4.0,2.25,2510,8165,1.0,4,267345.0
2.0,2.0,1680,4950,1.0,3,530000.0
3.0,2.0,1770,6610,1.0,4,449500.0
3.0,1.0,1090,7315,1.0,5,289000.0
5.0,2.5,3001,5710,2.0,3,373000.0
5.0,3.0,2450,4591,2.0,3,525000.0
